Testing_MSE,Testing_MAPE
29010.140625,0.03261744976043701
26389.177734375,0.04474778473377228
8965.107421875,0.026268597692251205
9034.125,0.022174175828695297
19458.408203125,0.03492606058716774
13053.740234375,0.02773832529783249
8856.828125,0.023126062005758286
26693.833984375,0.04290734976530075
3098.265380859375,0.014575239270925522
8936.5458984375,0.0275895819067955
10871.0068359375,0.026566576212644577
28586.654296875,0.04523403197526932
7201.564453125,0.019468501210212708
6878.8291015625,0.021139075979590416
17882.87109375,0.029247654601931572
28013.451171875,0.04117102921009064
8212.3779296875,0.02168179862201214
61009.4296875,0.061700306832790375
13429.59765625,0.02502521499991417
9155.181640625,0.019000932574272156
15113.3974609375,0.024074260145425797
12063.5185546875,0.022602980956435204
5160.654296875,0.014894294552505016
51680.5078125,0.05854411423206329
21630.93359375,0.0420428141951561
18467.154296875,0.037364743649959564
9523.068359375,0.025526871904730797
16928.92578125,0.034417327493429184
17198.908203125,0.03101610392332077
11397.87109375,0.026081552729010582
7385.43896484375,0.02325538359582424
18782.70703125,0.03323134407401085
7486.7353515625,0.02196245640516281
8579.580078125,0.022418854758143425
7061.7978515625,0.018599845468997955
3247.791015625,0.01497286930680275
7801.388671875,0.019444426521658897
7779.626953125,0.022831350564956665
5132.62255859375,0.017302200198173523
4744.31298828125,0.018810302019119263
3597.43896484375,0.014789633452892303
15557.10546875,0.030299726873636246
10782.7001953125,0.026410836726427078
78366.96875,0.057792969048023224
70831.1796875,0.053206026554107666
24961.43359375,0.03756653517484665
21767.78515625,0.03440530598163605
6590.154296875,0.018264397978782654
46881.359375,0.04601680487394333
17171.67578125,0.03224828466773033
44339.421875,0.04131411761045456
28778.255859375,0.039392925798892975
19722.201171875,0.03941289335489273
14405.3818359375,0.03041500225663185
6450.53271484375,0.021518807858228683
4153.62060546875,0.01645246148109436
34348.6640625,0.043351203203201294
19974.640625,0.03881256282329559
29196.2265625,0.03543926775455475
31794.490234375,0.04278084263205528
12309.828125,0.025667298585176468
12381.611328125,0.03442612290382385
20595.796875,0.04575501009821892
22579.98828125,0.04713653028011322
10028.66015625,0.025737537071108818
8637.53125,0.021534785628318787
7783.12890625,0.025340836495161057
19851.53125,0.0417318120598793
4562.9130859375,0.017360348254442215
17380.064453125,0.033574461936950684
8489.154296875,0.025922661647200584
7807.87890625,0.02298559993505478
14295.56640625,0.03602403402328491
13544.888671875,0.031201859936118126
41601.6015625,0.05102963745594025
19047.5859375,0.03888184577226639
35036.75390625,0.046362102031707764
6752.001953125,0.022651001811027527
14092.76171875,0.03000216744840145
31041.162109375,0.04908604547381401
65373.046875,0.07287932932376862
25159.771484375,0.04598416015505791
40119.40625,0.04888295382261276
15033.9287109375,0.03167756274342537
48379.13671875,0.058199018239974976
61353.55859375,0.07028071582317352
10003.3759765625,0.027299394831061363
11880.3359375,0.03619120270013809
21180.0625,0.040546488016843796
70301.75,0.07683241367340088
125853.875,0.1008957251906395
38190.62109375,0.04635050892829895
13297.8505859375,0.03144972771406174
37578.25,0.052791010588407516
7736.0244140625,0.02753412537276745
79883.25,0.07561375200748444
82211.9765625,0.07837368547916412
21876.22265625,0.04174265265464783
26165.740234375,0.04533083736896515
116585.6171875,0.08923225104808807
58079.1328125,0.06972470879554749
42949.6796875,0.06206701323390007
8846.595703125,0.027158774435520172
40441.1875,0.05374174937605858
56819.2734375,0.06041265279054642
168092.875,0.0983780175447464
119414.4296875,0.09450304508209229
37118.1484375,0.058781903237104416
61572.62109375,0.08439253270626068
38309.5625,0.053465716540813446
39424.81640625,0.05035162717103958
75980.265625,0.07336899638175964
35140.0546875,0.04437051713466644
30414.0234375,0.045243244618177414
60081.82421875,0.08173950016498566
13208.3232421875,0.03412660211324692
36662.5703125,0.05064909905195236
94832.140625,0.09019803255796432
43996.3828125,0.050410252064466476
16535.291015625,0.03411167114973068
52862.99609375,0.06395352631807327
97633.6796875,0.09355898201465607
109299.8984375,0.10970153659582138
136969.59375,0.10965283215045929
145338.390625,0.10778671503067017
55032.6171875,0.07338268309831619
101767.09375,0.09753420948982239
61724.6875,0.06749171018600464
65272.375,0.08365964144468307
57581.59375,0.08122065663337708
41294.9921875,0.05425592511892319
112449.7421875,0.09112945199012756
80233.59375,0.07994502037763596
73934.703125,0.0827568918466568
106387.234375,0.08950875699520111
172805.65625,0.1130574643611908
36248.96875,0.06438864767551422
25211.59375,0.04455751180648804
156463.59375,0.10899335145950317
125958.2109375,0.09977297484874725
86902.703125,0.0909203514456749
96866.359375,0.08245022594928741
39072.72265625,0.053210385143756866
46639.9453125,0.07327508181333542
131469.53125,0.10089185833930969
56546.859375,0.0719963014125824
27294.71875,0.03847881406545639
14947.4873046875,0.03455028310418129
34045.984375,0.04269641265273094
34502.0625,0.04837191849946976
84728.671875,0.09957027435302734
50697.76171875,0.07003024965524673
50773.828125,0.06315803527832031
70185.3203125,0.072027787566185
73659.296875,0.06279920041561127
34069.03125,0.040579020977020264
10578.7001953125,0.02393478713929653
71274.359375,0.07664590328931808
50899.625,0.060325734317302704
56053.7265625,0.058106228709220886
45612.46875,0.04442746937274933
18264.21875,0.03854208439588547
43483.04296875,0.045671768486499786
