Training_MSE,Training_MAPE
54411.78125,0.05321488529443741
64410.8515625,0.05122130736708641
76475.28125,0.07264235615730286
76657.234375,0.0769214779138565
8614.625,0.0208822563290596
48907.3125,0.041801922023296356
46265.99609375,0.04346055909991264
13459.6982421875,0.022902531549334526
58383.02734375,0.04424732178449631
36389.57421875,0.048082031309604645
39327.265625,0.05136275291442871
25987.96875,0.040626317262649536
16335.9130859375,0.027165208011865616
34806.4296875,0.04704975336790085
48295.3125,0.04629896208643913
39645.046875,0.039904944598674774
35538.9765625,0.03749600425362587
67747.734375,0.059423819184303284
11545.0263671875,0.023189572617411613
19939.92578125,0.03717136010527611
51470.0,0.0640978068113327
96205.9609375,0.06604272872209549
69826.953125,0.04746366664767265
36892.890625,0.037848278880119324
43024.2578125,0.04202679544687271
40133.82421875,0.04250965639948845
26052.904296875,0.03908316791057587
33502.13671875,0.05250520259141922
33160.4140625,0.042997341603040695
42817.0078125,0.03977341949939728
35559.8828125,0.042483262717723846
31921.560546875,0.0368630550801754
65077.1640625,0.05695302411913872
16695.59765625,0.029134860262274742
24827.91015625,0.030966583639383316
57248.94921875,0.05496738851070404
49803.27734375,0.045126765966415405
24498.552734375,0.040062300860881805
52293.484375,0.05531170591711998
37615.703125,0.04137276113033295
57960.04296875,0.05865404009819031
17109.08984375,0.0309598408639431
27219.69140625,0.037119269371032715
72093.109375,0.04709319397807121
49157.4375,0.04567418619990349
37043.04296875,0.04641192406415939
21168.115234375,0.02845005691051483
39301.26171875,0.05179963260889053
26624.2578125,0.04438360780477524
30104.177734375,0.046598609536886215
36718.98046875,0.0418999157845974
13788.9638671875,0.03212786465883255
19868.70703125,0.0330997072160244
15493.2958984375,0.03314138948917389
29406.859375,0.05492005869746208
24007.25,0.04422032833099365
24160.76953125,0.03978968411684036
29042.24609375,0.04210847616195679
24895.76953125,0.03620938956737518
27989.662109375,0.044331617653369904
20894.869140625,0.029796425253152847
27013.958984375,0.037380583584308624
43282.44921875,0.050817809998989105
14365.091796875,0.02568056434392929
44302.13671875,0.04946700856089592
34633.5703125,0.04625652730464935
24062.865234375,0.04498891159892082
34008.8046875,0.04954814910888672
24078.34765625,0.032361745834350586
28457.9921875,0.038161102682352066
