Validation_MSE,Validation_MAPE
9246.345703125,0.0227698665112257
9512.5849609375,0.022277258336544037
42024.93359375,0.05717336758971214
25595.08984375,0.04722947999835014
11178.447265625,0.026540257036685944
49655.3359375,0.06271172314882278
8221.4619140625,0.02099529281258583
5112.01513671875,0.017839550971984863
32367.724609375,0.05068724974989891
24155.95703125,0.03779234737157822
9687.6708984375,0.02359597198665142
8710.517578125,0.019981227815151215
7833.53271484375,0.018939828500151634
6132.2041015625,0.017932089045643806
6022.29296875,0.01643027737736702
27954.4375,0.04530821368098259
14382.0078125,0.030518420040607452
34164.8984375,0.05221317708492279
15703.298828125,0.03442053869366646
72372.46875,0.055013492703437805
42961.171875,0.04716350883245468
39899.234375,0.05217048525810242
96588.0,0.0971168577671051
81414.5390625,0.08825445175170898
33218.25,0.05056269094347954
14887.8662109375,0.03460026904940605
49715.44921875,0.0641854852437973
44104.7578125,0.05261756479740143
43473.9609375,0.051540352404117584
119646.203125,0.08277492970228195
46451.46484375,0.04627741128206253
25419.625,0.037912189960479736
41930.765625,0.06037254258990288
11028.060546875,0.027512332424521446
8110.61279296875,0.022900408133864403
18995.203125,0.039973899722099304
22451.9375,0.04372302442789078
37799.3828125,0.052409734576940536
51907.8359375,0.0682843029499054
12468.3076171875,0.02940874919295311
14485.57421875,0.028550220653414726
23714.1640625,0.03609110414981842
10447.931640625,0.02047753520309925
29819.7734375,0.04584880173206329
13272.9443359375,0.033200182020664215
12199.740234375,0.033976420760154724
8815.767578125,0.025560734793543816
10758.08203125,0.02428986132144928
9190.068359375,0.023999281227588654
4986.3408203125,0.017577720806002617
13150.3984375,0.02956903725862503
30613.568359375,0.053076501935720444
10033.8623046875,0.02846619300544262
13018.052734375,0.031705282628536224
26400.0703125,0.04726957529783249
46839.3515625,0.06035790964961052
7554.7490234375,0.019058704376220703
25689.794921875,0.0322357639670372
10323.6357421875,0.020364195108413696
28366.1796875,0.04632843658328056
10214.15234375,0.026374608278274536
12999.9287109375,0.03138987720012665
12838.044921875,0.02733778767287731
6642.26708984375,0.015635088086128235
8886.2939453125,0.020094113424420357
13735.62890625,0.026043638586997986
15788.60546875,0.028786536306142807
15273.322265625,0.03189334273338318
21945.841796875,0.04234178364276886
26983.90625,0.04990224167704582
20973.5625,0.037527285516262054
9161.951171875,0.02568528614938259
19477.533203125,0.04597800225019455
27452.0703125,0.0586073212325573
16943.50390625,0.03408164530992508
10588.6953125,0.026337463408708572
9292.3193359375,0.02284998446702957
11709.2138671875,0.02800617180764675
9719.88671875,0.024615343660116196
11634.76953125,0.031136788427829742
14318.5810546875,0.03703382983803749
11786.607421875,0.03146497905254364
32262.0234375,0.05614122003316879
9211.1474609375,0.026844024658203125
28967.3984375,0.043465327471494675
26908.380859375,0.03784412890672684
13336.44921875,0.032857514917850494
5415.2763671875,0.021746400743722916
19764.708984375,0.04297591745853424
27234.443359375,0.04454551264643669
22868.06640625,0.03948976472020149
5484.11669921875,0.01979747787117958
22405.08984375,0.047456055879592896
10244.287109375,0.023371286690235138
37426.65625,0.05392252653837204
4257.13134765625,0.020702537149190903
22458.30078125,0.04125286638736725
21426.33984375,0.03719060868024826
63925.80859375,0.06297226250171661
19438.658203125,0.03162778913974762
9212.2353515625,0.02665143460035324
7097.30224609375,0.025713030248880386
3245.17578125,0.017797857522964478
6064.673828125,0.02236676961183548
19885.63671875,0.039505504071712494
30547.16015625,0.053159743547439575
9023.6953125,0.02624828740954399
38843.625,0.04748322814702988
29284.091796875,0.05724073573946953
14710.533203125,0.04036431759595871
11779.2255859375,0.03148326650261879
24940.9921875,0.045057326555252075
50822.2109375,0.050553083419799805
17322.21875,0.035517312586307526
5773.95458984375,0.018990928307175636
23177.203125,0.03783182427287102
14990.884765625,0.03713509067893028
8261.09375,0.025156361982226372
8367.5625,0.029688505455851555
6798.72998046875,0.023457307368516922
7759.0791015625,0.02864065021276474
7960.3603515625,0.02066599205136299
4332.5986328125,0.020401811227202415
11099.6044921875,0.032036975026130676
13855.5224609375,0.034209832549095154
16682.28125,0.032706595957279205
28901.537109375,0.04411250352859497
11320.6396484375,0.030442118644714355
8652.5361328125,0.02955034375190735
21257.48828125,0.03886263072490692
9475.462890625,0.02707817032933235
15369.0615234375,0.03589271008968353
6155.75341796875,0.02030739188194275
8978.005859375,0.0266391821205616
26212.875,0.04747217893600464
16027.046875,0.032887671142816544
31209.1953125,0.049931563436985016
20418.44921875,0.0410643070936203
43337.73046875,0.03943253681063652
72776.234375,0.0720963329076767
32471.826171875,0.04588071629405022
10582.828125,0.02514479123055935
61010.54296875,0.055868230760097504
51678.51171875,0.06433915346860886
42447.0390625,0.04800453037023544
477109.4375,0.17278693616390228
113737.1171875,0.07641365379095078
7343.73828125,0.023439420387148857
3611.463623046875,0.01648121513426304
29781.890625,0.034191764891147614
26416.92578125,0.03490679711103439
3941.831787109375,0.017757346853613853
25246.79296875,0.04568902403116226
11849.083984375,0.031054407358169556
31771.841796875,0.047055136412382126
36937.25,0.03526800498366356
37024.3671875,0.03987817093729973
26364.857421875,0.03719836473464966
9889.9130859375,0.027528434991836548
